country,year,GDP,Population,Life_Expectancy,Inflation,Unemployment,School_Enrollment,GDP_per_capita
Saudi Arabia,1994,135174899866.489,12750040,70.587,0.564325478533149,6.733,,10601.9196697805
Saudi Arabia,1995,143343124165.554,13289245,70.944,4.86843103056033,6.365,,10786.4008952769
Saudi Arabia,1996,158662483311.081,13831009,71.288,1.22206054877756,5.804,,11471.5045960191
Saudi Arabia,1997,165963684913.218,14374943,71.624,0.0571506050626489,5.283,,11545.3455998551
Saudi Arabia,1998,146775466666.667,14922185,71.957,-0.37126675171199,4.752,,9836.05729768574
Saudi Arabia,1999,161717066666.667,15472075,72.29,-1.33375489653896,4.346,,10452.1899400479
Saudi Arabia,2000,189514933333.333,16177722,72.607,-1.12499838517645,4.57,,11714.5623675159
Saudi Arabia,2001,184137600000.0,17041397,72.951,-1.12094804896791,4.618,,10805.311325122
Saudi Arabia,2002,189605866666.667,17910910,73.296,0.247186492339686,5.265,,10586.0543471363
Saudi Arabia,2003,215807733333.333,18786767,73.657,0.612195358172966,5.563,,11487.220410693
Saudi Arabia,2004,258742133333.333,19669480,74.027,0.5155078977673,5.822,,13154.4978989446
Saudi Arabia,2005,328459608764.111,20559890,74.4,0.479231671630955,6.051,,15975.7473782258
Saudi Arabia,2006,376900133511.348,21459144,74.762,2.20902314069647,6.254,,17563.6145370639
Saudi Arabia,2007,415964509673.115,22368313,75.066,4.16782358431579,5.734,,18596.1502627898
Saudi Arabia,2008,519796800000.0,23287877,75.301,9.87024816760266,5.085,,22320.4888964331
Saudi Arabia,2009,429097866666.667,24217654,75.447,5.0572227614833,5.377,91.37566,17718.3911648365
Saudi Arabia,2010,528207466666.667,23978487,75.616,5.33941733020905,5.55,97.10889,22028.3901426586
Saudi Arabia,2011,680660800000.0,25091867,75.808,5.8262163739404,5.77,97.10289,27126.7498747702
Saudi Arabia,2012,751921333333.333,26168861,76.09,2.86627029905053,5.622,99.75876,28733.4375513452
Saudi Arabia,2013,769755733333.333,27624004,76.517,3.51104209799866,5.6,97.73502,27865.465604962
